time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
246360,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
247370,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
248370,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
249380,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
250380,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
253400,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
267910,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
267920,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
267920,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
267920,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
267920,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
267920,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
272910,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
272910,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
273910,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
274920,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
275930,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
276930,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
440830,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
445820,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
445820,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
446830,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
447830,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
448840,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
449840,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
452860,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
501030,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
506030,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
506030,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
507030,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
508040,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
509040,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
510050,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
513060,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
566330,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,4
566330,0.4184568,1,1,229,918,1,5,1.3,5,5,0,30,30,0,4
566330,0.4184568,1,1,229,918,1,5,1.3,5,5,0,30,74.89259,0,4
567330,0.3570554,1,1,205,857,1,5,1.3,5,5,0,30,74.89259,0,4
567330,0.3570554,1,1,205,857,1,5,1.3,5,5,0,30,78.57668,0,4
568340,0.3145748,1,1,189,814,1,5,1.3,5,5,0,30,78.57668,0,4
568340,0.3145748,1,1,189,814,1,5,1.3,5,5,0,30,81.12551,0,4
569340,0.3038326,1,1,185,803,1,5,1.3,5,5,0,30,81.12551,0,4
569340,0.3038326,1,1,185,803,1,5,1.3,5,5,0,30,81.77004,0,4
570350,0.3393551,1,1,198,839,1,5,1.3,5,5,0,30,81.77004,0,4
570350,0.3393551,1,1,198,839,1,5,1.3,5,5,0,30,79.63869,0,4
571350,0.4031979,1,1,223,903,1,5,1.3,5,5,0,30,79.63869,0,4
571350,0.4031979,1,1,223,903,1,5,1.3,5,5,0,30,75.80813,0,4
572360,0.4350583,1,1,235,935,1,5,1.3,5,5,0,30,75.80813,0,4
572360,0.4350583,1,1,235,935,1,5,1.3,5,5,0,30,73.8965,0,4
573370,0.4074704,1,1,224,907,1,5,1.3,5,5,0,30,73.8965,0,4
573370,0.4074704,1,1,224,907,1,5,1.3,5,5,0,30,75.55177,0,4
574370,0.3519285,1,1,203,851,1,5,1.3,5,5,0,30,75.55177,0,4
574370,0.3519285,1,1,203,851,1,5,1.3,5,5,0,30,78.88429,0,4
575370,0.3995358,1,1,221,899,1,5,1.3,5,5,0,30,78.88429,0,4
575370,0.3995358,1,1,221,899,1,5,1.3,5,5,0,30,76.02785,0,4
576380,0.4639889,1,1,246,963,1,5,1.3,5,5,0,30,76.02785,0,4
576380,0.4639889,1,1,246,963,1,5,1.3,5,5,0,30,72.16067,0,4
577380,0.4897457,1,1,256,989,1,5,1.3,5,5,0,30,72.16067,0,4
577380,0.4897457,1,1,256,989,1,5,1.3,5,5,0,30,70.61526,0,4
578390,0.5350338,1,1,273,1035,1,5,1.3,5,5,0,30,70.61526,0,4
578390,0.5350338,1,1,273,1035,1,5,1.3,5,5,0,30,67.89797,0,4
579390,0.5922847,1,1,295,1092,1,5,1.3,5,5,0,30,67.89797,0,4
579390,0.5922847,1,1,295,1092,1,5,1.3,5,5,0,30,64.46292,0,4
580400,0.6544185,1,1,318,1154,1,5,1.3,5,5,0,30,64.46292,0,4
580400,0.6544185,1,1,318,1154,1,5,1.3,5,5,0,30,60.73489,0,4
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
