time,raw,transformed
6030,11.11,11.11
6030,11.11,11.11
6120,11.11,11.11
6120,11.11,11.11
6230,11.11,11.11
6230,11.11,11.11
6340,11.11,11.11
6340,11.11,11.11
6450,11.11,11.11
6450,11.11,11.11
6560,11.11,11.11
6560,11.11,11.11
6670,11.11,11.11
6670,11.11,11.11
6780,11.11,11.11
6780,11.11,11.11
6890,11.11,11.11
6890,11.11,11.11
7000,11.11,11.11
7000,11.11,11.11
7100,11.11,11.11
7100,11.11,11.11
7210,11.11,11.11
7210,11.11,11.11
7320,11.11,11.11
7320,11.11,11.11
7430,11.11,11.11
7430,11.11,11.11
7540,11.11,11.11
7540,11.11,11.11
7650,11.11,11.11
7650,11.11,11.11
7760,11.11,11.11
7760,11.11,11.11
7870,11.11,11.11
7870,11.11,11.11
7980,11.11,11.11
7980,11.11,11.11
8090,11.11,11.11
8090,11.11,11.11
8200,11.11,11.11
8200,11.11,11.11
8310,11.11,11.11
8310,11.11,11.11
8420,11.11,11.11
8420,11.11,11.11
8520,11.11,11.11
8520,11.11,11.11
8630,11.11,11.11
8630,11.11,11.11
8740,11.11,11.11
8740,11.11,11.11
8850,11.11,11.11
8850,11.11,11.11
8960,11.11,11.11
8960,11.11,11.11
9070,11.11,11.11
9070,11.11,11.11
9180,11.11,11.11
9180,11.11,11.11
9290,11.11,11.11
9290,11.11,11.11
9400,11.11,11.11
9400,11.11,11.11
9510,11.11,11.11
9510,11.11,11.11
9620,11.11,11.11
9620,11.11,11.11
9730,11.11,11.11
9730,11.11,11.11
9830,11.11,11.11
9830,11.11,11.11
9940,11.11,11.11
9940,11.11,11.11
10050,11.11,11.11
10050,11.11,11.11
10160,11.11,11.11
10160,11.11,11.11
10270,11.11,11.11
10270,11.11,11.11
10380,11.11,11.11
10380,11.11,11.11
10490,11.11,11.11
10490,11.11,11.11
10600,11.11,11.11
10600,11.11,11.11
10710,11.11,11.11
10710,11.11,11.11
10820,11.11,11.11
10820,11.11,11.11
10930,11.11,11.11
10930,11.11,11.11
11040,11.11,11.11
11040,11.11,11.11
11150,11.11,11.11
11150,11.11,11.11
11250,11.11,11.11
11250,11.11,11.11
11360,11.11,11.11
11360,11.11,11.11
11470,11.11,11.11
11470,11.11,11.11
11580,11.11,11.11
11580,11.11,11.11
11690,11.11,11.11
11690,11.11,11.11
11800,11.11,11.11
11800,11.11,11.11
11910,11.11,11.11
11910,11.11,11.11
12020,11.11,11.11
12020,11.11,11.11
12130,11.11,11.11
12130,11.11,11.11
12240,11.11,11.11
12240,11.11,11.11
12350,11.11,11.11
12350,11.11,11.11
12460,11.11,11.11
12460,11.11,11.11
12560,11.11,11.11
12560,11.11,11.11
12670,11.11,11.11
12670,11.11,11.11
12780,11.11,11.11
12780,11.11,11.11
12890,11.11,11.11
12890,11.11,11.11
13000,11.11,11.11
13000,11.11,11.11
13110,11.11,11.11
13110,11.11,11.11
13220,11.11,11.11
13220,11.11,11.11
13330,11.11,11.11
13330,11.11,11.11
13440,11.11,11.11
13440,11.11,11.11
13550,11.11,11.11
13550,11.11,11.11
13660,11.11,11.11
13660,11.11,11.11
13770,11.11,11.11
13770,11.11,11.11
13880,11.11,11.11
13880,11.11,11.11
13980,11.11,11.11
13980,11.11,11.11
14090,11.11,11.11
14090,11.11,11.11
14200,11.11,11.11
14200,11.11,11.11
14310,11.11,11.11
14310,11.11,11.11
14420,11.11,11.11
14420,11.11,11.11
14530,11.11,11.11
14530,11.11,11.11
14640,11.11,11.11
14640,11.11,11.11
14750,11.11,11.11
14750,11.11,11.11
14860,11.11,11.11
14860,11.11,11.11
14970,11.11,11.11
14970,11.11,11.11
15080,11.11,11.11
15080,11.11,11.11
15190,11.11,11.11
15190,11.11,11.11
15300,11.11,11.11
15300,11.11,11.11
15400,11.11,11.11
15400,11.11,11.11
15510,11.11,11.11
15510,11.11,11.11
15620,11.11,11.11
15620,11.11,11.11
15730,11.11,11.11
15730,11.11,11.11
15840,11.11,11.11
15840,11.11,11.11
15950,11.11,11.11
15950,11.11,11.11
16060,11.11,11.11
16060,11.11,11.11
16170,11.11,11.11
16170,11.11,11.11
16280,11.11,11.11
16280,11.11,11.11
16390,11.11,11.11
16390,11.11,11.11
16500,11.11,11.11
16500,11.11,11.11
16610,11.11,11.11
16610,11.11,11.11
16710,11.11,11.11
16710,11.11,11.11
16820,11.11,11.11
16820,11.11,11.11
16930,11.11,11.11
16930,11.11,11.11
17040,11.11,11.11
17040,11.11,11.11
17150,11.11,11.11
17150,11.11,11.11
17260,11.11,11.11
17260,11.11,11.11
17370,11.11,11.11
17370,11.11,11.11
17480,11.11,11.11
17480,11.11,11.11
17590,11.11,11.11
17590,11.11,11.11
17700,11.11,11.11
17700,11.11,11.11
17810,11.11,11.11
17810,11.11,11.11
17920,11.11,11.11
17920,11.11,11.11
18030,11.11,11.11
18030,11.11,11.11
18130,11.11,11.11
18130,11.11,11.11
18240,11.11,11.11
18240,11.11,11.11
18350,11.11,11.11
18350,11.11,11.11
18460,11.11,11.11
18460,11.11,11.11
18570,11.11,11.11
18570,11.11,11.11
18680,11.11,11.11
18680,11.11,11.11
18790,11.11,11.11
18790,11.11,11.11
18900,11.11,11.11
18900,11.11,11.11
19010,11.11,11.11
19010,11.11,11.11
19120,11.11,11.11
19120,11.11,11.11
19230,11.11,11.11
19230,11.11,11.11
19340,11.11,11.11
19340,11.11,11.11
19440,11.11,11.11
19440,11.11,11.11
19550,11.11,11.11
19550,11.11,11.11
19660,11.11,11.11
19660,11.11,11.11
19770,11.11,11.11
19770,11.11,11.11
19880,11.11,11.11
19880,11.11,11.11
19990,11.11,11.11
19990,11.11,11.11
20100,11.11,11.11
20100,11.11,11.11
20210,11.11,11.11
20210,11.11,11.11
20320,11.11,11.11
20320,11.11,11.11
20430,11.11,11.11
20430,11.11,11.11
20540,11.11,11.11
20540,11.11,11.11
20650,11.11,11.11
20650,11.11,11.11
20760,11.11,11.11
20760,11.11,11.11
20860,11.11,11.11
20860,11.11,11.11
20970,11.11,11.11
20970,11.11,11.11
21080,11.11,11.11
21080,11.11,11.11
21190,11.11,11.11
21190,11.11,11.11
21300,11.11,11.11
21300,11.11,11.11
21410,11.11,11.11
21410,11.11,11.11
21520,11.11,11.11
21520,11.11,11.11
21630,11.11,11.11
21630,11.11,11.11
21740,11.11,11.11
21740,11.11,11.11
21850,11.11,11.11
21850,11.11,11.11
21960,11.11,11.11
21960,11.11,11.11
22070,11.11,11.11
22070,11.11,11.11
22170,11.11,11.11
22170,11.11,11.11
22280,11.11,11.11
22280,11.11,11.11
22390,11.11,11.11
22390,11.11,11.11
22500,11.11,11.11
22500,11.11,11.11
22610,11.11,11.11
22610,11.11,11.11
22720,11.11,11.11
22720,11.11,11.11
22830,11.11,11.11
22830,11.11,11.11
22940,11.11,11.11
22940,11.11,11.11
23050,11.11,11.11
23050,11.11,11.11
23160,11.11,11.11
23160,11.11,11.11
23270,11.11,11.11
23270,11.11,11.11
23380,11.11,11.11
23380,11.11,11.11
23490,11.11,11.11
23490,11.11,11.11
23590,11.11,11.11
23590,11.11,11.11
23700,11.11,11.11
23700,11.11,11.11
23810,11.11,11.11
23810,11.11,11.11
23920,11.11,11.11
23920,11.11,11.11
24030,11.11,11.11
24030,11.11,11.11
24140,11.11,11.11
24140,11.11,11.11
24250,11.11,11.11
24250,11.11,11.11
24360,11.11,11.11
24360,11.11,11.11
24470,11.11,11.11
24470,11.11,11.11
24580,11.11,11.11
24580,11.11,11.11
24690,11.11,11.11
24690,11.11,11.11
24800,11.11,11.11
24800,11.11,11.11
24900,11.11,11.11
24900,11.11,11.11
25010,11.11,11.11
25010,11.11,11.11
25120,11.11,11.11
25120,11.11,11.11
25230,11.11,11.11
25230,11.11,11.11
25340,11.11,11.11
25340,11.11,11.11
25450,11.11,11.11
25450,11.11,11.11
25560,11.11,11.11
25560,11.11,11.11
25670,11.11,11.11
25670,11.11,11.11
25780,11.11,11.11
25780,11.11,11.11
25890,11.11,11.11
25890,11.11,11.11
26000,11.11,11.11
26000,11.11,11.11
26110,11.11,11.11
26110,11.11,11.11
26220,11.11,11.11
26220,11.11,11.11
26320,11.11,11.11
26320,11.11,11.11
26430,11.11,11.11
26430,11.11,11.11
26540,11.11,11.11
26540,11.11,11.11
26650,11.11,11.11
26650,11.11,11.11
26760,11.11,11.11
26760,11.11,11.11
26870,11.11,11.11
26870,11.11,11.11
26980,11.11,11.11
26980,11.11,11.11
27090,11.11,11.11
27090,11.11,11.11
27200,11.11,11.11
27200,11.11,11.11
27310,11.11,11.11
27310,11.11,11.11
27420,11.11,11.11
27420,11.11,11.11
27530,11.11,11.11
27530,11.11,11.11
27630,11.11,11.11
27630,11.11,11.11
27740,11.11,11.11
27740,11.11,11.11
27850,11.11,11.11
27850,11.11,11.11
27960,11.11,11.11
27960,11.11,11.11
28070,11.11,11.11
28070,11.11,11.11
28180,11.11,11.11
28180,11.11,11.11
28290,11.11,11.11
28290,11.11,11.11
28400,11.11,11.11
28400,11.11,11.11
28510,11.11,11.11
28510,11.11,11.11
28620,11.11,11.11
28620,11.11,11.11
28730,11.11,11.11
28730,11.11,11.11
28840,11.11,11.11
28840,11.11,11.11
28950,11.11,11.11
28950,11.11,11.11
29050,11.11,11.11
29050,11.11,11.11
29160,11.11,11.11
29160,11.11,11.11
29270,11.11,11.11
29270,11.11,11.11
29380,11.11,11.11
29380,11.11,11.11
29490,11.11,11.11
29490,11.11,11.11
29600,11.11,11.11
29600,11.11,11.11
29710,11.11,11.11
29710,11.11,11.11
29820,11.11,11.11
29820,11.11,11.11
29930,11.11,11.11
29930,11.11,11.11
30040,11.11,11.11
30040,11.11,11.11
30150,11.11,11.11
30150,11.11,11.11
30260,11.11,11.11
30260,11.11,11.11
30360,11.11,11.11
30360,11.11,11.11
30470,11.11,11.11
30470,11.11,11.11
30580,11.11,11.11
30580,11.11,11.11
30690,11.11,11.11
30690,11.11,11.11
30800,11.11,11.11
30800,11.11,11.11
30910,11.11,11.11
30910,11.11,11.11
31020,11.11,11.11
31020,11.11,11.11
31130,11.11,11.11
31130,11.11,11.11
31240,11.11,11.11
31240,11.11,11.11
31350,11.11,11.11
31350,11.11,11.11
31460,11.11,11.11
31460,11.11,11.11
31570,11.11,11.11
31570,11.11,11.11
31680,11.11,11.11
31680,11.11,11.11
31780,11.11,11.11
31780,11.11,11.11
31890,11.11,11.11
31890,11.11,11.11
32000,11.11,11.11
32000,11.11,11.11
32110,11.11,11.11
32110,11.11,11.11
32220,11.11,11.11
32220,11.11,11.11
32330,11.11,11.11
32330,11.11,11.11
32440,11.11,11.11
32440,11.11,11.11
32550,11.11,11.11
32550,11.11,11.11
32660,11.11,11.11
32660,11.11,11.11
32770,11.11,11.11
32770,11.11,11.11
32880,11.11,11.11
32880,11.11,11.11
32990,11.11,11.11
32990,11.11,11.11
33090,11.11,11.11
33090,11.11,11.11
33200,11.11,11.11
33200,11.11,11.11
33310,11.11,11.11
33310,11.11,11.11
33420,11.11,11.11
33420,11.11,11.11
33530,11.11,11.11
33530,11.11,11.11
33640,11.11,11.11
33640,11.11,11.11
33750,11.11,11.11
33750,11.11,11.11
33860,11.11,11.11
33860,11.11,11.11
33970,11.11,11.11
33970,11.11,11.11
34080,11.11,11.11
34080,11.11,11.11
34190,11.11,11.11
34190,11.11,11.11
34300,11.11,11.11
34300,11.11,11.11
34410,11.11,11.11
34410,11.11,11.11
34510,11.11,11.11
34510,11.11,11.11
34620,11.11,11.11
34620,11.11,11.11
34730,11.11,11.11
34730,11.11,11.11
34840,11.11,11.11
34840,11.11,11.11
34950,11.11,11.11
34950,11.11,11.11
35060,11.11,11.11
35060,11.11,11.11
35170,11.11,11.11
35170,11.11,11.11
35280,11.11,11.11
35280,11.11,11.11
35390,11.11,11.11
35390,11.11,11.11
35500,11.11,11.11
35500,11.11,11.11
35610,11.11,11.11
35610,11.11,11.11
35720,11.11,11.11
35720,11.11,11.11
35820,11.11,11.11
35820,11.11,11.11
35930,11.11,11.11
35930,11.11,11.11
36040,11.11,11.11
36040,11.11,11.11
36150,11.11,11.11
36150,11.11,11.11
36260,11.11,11.11
36260,11.11,11.11
36370,11.11,11.11
36370,11.11,11.11
36480,11.11,11.11
36480,11.11,11.11
36590,11.11,11.11
