time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
5000,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
5000,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
5000,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
5000,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
6000,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,2
7020,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,2
8010,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,2
9010,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,2
10000,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
17030,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
46170,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,2
46170,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,2
46170,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,2
56180,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,2
56180,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,2
57180,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,2
57180,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,2
58180,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,2
58180,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,2
59190,0,1,1,300,1000,2,8,1.3,7,6,6,30,30,1,2
59190,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,2
70250,0,1,1,300,1000,2,8,1.3,7,4,9,30,30,0,2
70250,0.8652518,1.81809,1,300,1000,2,8,1.3,7,4,9,30,30,0,2
70250,0.8652518,1.81809,1,300,1000,2,8,1.3,7,4,9,22.69497,30,0,2
71260,0.8462102,1.792384,1,300,1000,2,8,1.3,7,4,9,22.69497,30,0,2
