time,raw,transformed
6255,11.11,11.11
6255,11.11,11.11
6355,11.11,11.11
6355,11.11,11.11
6467,11.11,11.11
6467,11.11,11.11
6577,11.11,11.11
6577,11.11,11.11
6685,11.11,11.11
6685,11.11,11.11
6792,11.11,11.11
6792,11.11,11.11
6901,11.11,11.11
6901,11.11,11.11
7013,11.11,11.11
7013,11.11,11.11
7122,11.11,11.11
7122,11.11,11.11
7234,11.11,11.11
7234,11.11,11.11
7338,11.11,11.11
7338,11.11,11.11
7447,11.11,11.11
7447,11.11,11.11
7559,11.11,11.11
7559,11.11,11.11
7668,11.11,11.11
7668,11.11,11.11
7777,11.11,11.11
7777,11.11,11.11
7885,11.11,11.11
7885,11.11,11.11
7993,11.11,11.11
7993,11.11,11.11
8105,11.11,11.11
8105,11.11,11.11
8214,11.11,11.11
8217,11.11,11.11
8325,11.11,11.11
8326,11.11,11.11
8430,11.11,11.11
8430,11.11,11.11
8539,11.11,11.11
8539,11.11,11.11
8651,11.11,11.11
8651,11.11,11.11
8760,11.11,11.11
8760,11.11,11.11
8869,11.11,11.11
8869,11.11,11.11
8975,11.11,11.11
8975,11.11,11.11
9085,11.11,11.11
9085,11.11,11.11
9197,11.11,11.11
9197,11.11,11.11
9305,11.11,11.11
9305,11.11,11.11
9415,11.11,11.11
9415,11.11,11.11
9521,11.11,11.11
9521,11.11,11.11
9635,11.11,11.11
9635,11.11,11.11
9743,11.11,11.11
9743,11.11,11.11
9851,11.11,11.11
9851,11.11,11.11
9961,11.11,11.11
9961,11.11,11.11
10067,11.11,11.11
10067,11.11,11.11
10177,11.11,11.11
10177,11.11,11.11
10289,11.11,11.11
10289,11.11,11.11
10397,11.11,11.11
10397,11.11,11.11
10507,11.11,11.11
10507,11.11,11.11
10613,11.11,11.11
10613,11.11,11.11
10725,11.11,11.11
10725,11.11,11.11
10835,11.11,11.11
10835,11.11,11.11
10943,11.11,11.11
10943,11.11,11.11
11053,11.11,11.11
11053,11.11,11.11
11159,11.11,11.11
11159,11.11,11.11
11269,11.11,11.11
11269,11.11,11.11
11385,11.11,11.11
11385,11.11,11.11
11489,11.11,11.11
11489,11.11,11.11
11599,11.11,11.11
11599,11.11,11.11
11705,11.11,11.11
11705,11.11,11.11
11815,11.11,11.11
11815,11.11,11.11
11927,11.11,11.11
11927,11.11,11.11
12035,11.11,11.11
12035,11.11,11.11
12143,11.11,11.11
12143,11.11,11.11
12251,11.11,11.11
12251,11.11,11.11
12361,11.11,11.11
12361,11.11,11.11
12475,11.11,11.11
12475,11.11,11.11
12585,11.11,11.11
12585,11.11,11.11
12691,11.11,11.11
12691,11.11,11.11
12797,11.11,11.11
12797,11.11,11.11
12906,11.11,11.11
12906,11.11,11.11
13018,11.11,11.11
13018,11.11,11.11
13127,11.11,11.11
13127,11.11,11.11
13236,11.11,11.11
13236,11.11,11.11
13343,11.11,11.11
13343,11.11,11.11
13452,11.11,11.11
13452,11.11,11.11
13566,11.11,11.11
13566,11.11,11.11
13675,11.11,11.11
13675,11.11,11.11
13784,11.11,11.11
13784,11.11,11.11
13889,11.11,11.11
13889,11.11,11.11
13998,11.11,11.11
13998,11.11,11.11
14110,11.11,11.11
14110,11.11,11.11
14219,11.11,11.11
14219,11.11,11.11
14328,11.11,11.11
14328,11.11,11.11
14436,11.11,11.11
14436,11.11,11.11
14544,11.11,11.11
14544,11.11,11.11
14656,11.11,11.11
14656,11.11,11.11
14765,11.11,11.11
14765,11.11,11.11
14876,11.11,11.11
14876,11.11,11.11
14986,11.11,11.11
14986,11.11,11.11
15090,11.11,11.11
15090,11.11,11.11
15202,11.11,11.11
15202,11.11,11.11
15311,11.11,11.11
15311,11.11,11.11
15420,11.11,11.11
15420,11.11,11.11
15528,11.11,11.11
15528,11.11,11.11
15636,11.11,11.11
15636,11.11,11.11
15748,11.11,11.11
15748,11.11,11.11
15857,11.11,11.11
15857,11.11,11.11
15966,11.11,11.11
15966,11.11,11.11
16073,11.11,11.11
16073,11.11,11.11
16185,11.11,11.11
16185,11.11,11.11
16294,11.11,11.11
16294,11.11,11.11
16403,11.11,11.11
16403,11.11,11.11
16512,11.11,11.11
16512,11.11,11.11
16619,11.11,11.11
16619,11.11,11.11
16729,11.11,11.11
16729,11.11,11.11
16840,11.11,11.11
16840,11.11,11.11
16949,11.11,11.11
16949,11.11,11.11
17058,11.11,11.11
17058,11.11,11.11
17165,11.11,11.11
17165,11.11,11.11
17276,11.11,11.11
17276,11.11,11.11
17386,11.11,11.11
17386,11.11,11.11
17496,11.11,11.11
17496,11.11,11.11
17605,11.11,11.11
17605,11.11,11.11
17712,11.11,11.11
17712,11.11,11.11
17821,11.11,11.11
17821,11.11,11.11
17932,11.11,11.11
17933,11.11,11.11
18042,11.11,11.11
18042,11.11,11.11
18151,11.11,11.11
18151,11.11,11.11
18258,11.11,11.11
18258,11.11,11.11
18367,11.11,11.11
18367,11.11,11.11
18481,11.11,11.11
18481,11.11,11.11
18588,11.11,11.11
18588,11.11,11.11
18697,11.11,11.11
18697,11.11,11.11
18804,11.11,11.11
18804,11.11,11.11
18913,11.11,11.11
18913,11.11,11.11
19025,11.11,11.11
19025,11.11,11.11
19137,11.11,11.11
19137,11.11,11.11
19241,11.11,11.11
19241,11.11,11.11
19350,11.11,11.11
19350,11.11,11.11
19459,11.11,11.11
19459,11.11,11.11
19571,11.11,11.11
19571,11.11,11.11
19680,11.11,11.11
19680,11.11,11.11
19789,11.11,11.11
19789,11.11,11.11
19896,11.11,11.11
19896,11.11,11.11
20005,11.11,11.11
20005,11.11,11.11
20117,11.11,11.11
20117,11.11,11.11
20228,11.11,11.11
20228,11.11,11.11
20339,11.11,11.11
