time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4450,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4450,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4450,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
4450,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,3
5480,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,3
6500,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,3
7500,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,3
8470,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,3
8470,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,3
15500,0,1,1,300,1000,1,5,1.3,5,4,1,30,30,1,3
30580,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,3
30580,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,3
30580,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,3
40580,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,3
40580,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,3
41580,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,3
41580,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,3
42590,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,3
42590,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,3
43600,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,3
44600,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,3
68720,0,1,1,300,1000,2,8,1.3,7,1,12,30,30,0,3
68720,0.8311704,1,0.8840401,300,1000,2,8,1.3,7,1,12,30,30,0,3
69720,0.8311704,1,0.8840401,300,1000,3,8,1.3,7,0,13,30,30,0,3
69720,0.8311704,1,0.8840401,300,1000,3,8,1.3,10,0,13,30,30,0,3
69720,0.8311704,1,0.8840401,300,1000,3,14,1.3,10,0,13,30,30,0,3
69720,0.7755693,1,0.9297401,300,1000,3,14,1.3,10,0,13,30,30,0,3
79730,0.7755693,1,0.9297401,300,1000,3,14,1.3,10,1,13,30,30,0,3
79730,0.7755693,1,0.9297401,300,1000,3,14,1.3,10,2,13,30,30,0,3
79730,0.7755693,1,0.9297401,300,1000,3,14,1.3,10,3,13,30,30,0,3
79730,0.7755693,1,0.9297401,300,1000,3,14,1.3,10,4,13,30,30,0,3
79730,0.7723225,1,0.9325553,300,1000,3,14,1.3,10,4,13,30,30,0,3
80730,0.7723225,1,0.9325553,300,1000,3,14,1.3,10,5,13,30,30,0,3
80730,0.7723225,1,0.9325553,300,1000,3,14,1.3,10,6,13,30,30,0,3
80730,0.7723225,1,0.9325553,300,1000,3,14,1.3,10,7,13,30,30,0,3
80730,0.7723225,1,0.9325553,300,1000,3,14,1.3,10,8,13,30,30,0,3
80730,0.9013815,1,0.832375,300,1000,3,14,1.3,10,8,13,30,30,0,3
81740,0.980927,1,0.7806846,300,1000,3,14,1.3,10,8,13,30,30,0,3
82740,0.967128,1,0.7891862,300,1000,3,14,1.3,10,8,13,30,30,0,3
83750,0.9326315,1,0.8112724,300,1000,3,14,1.3,10,8,13,30,30,0,3
84760,0.9326315,1,0.8112724,300,1000,3,14,1.3,10,8,14,30,30,0,3
84760,0.9208621,1,0.8190933,300,1000,3,14,1.3,10,8,14,30,30,0,3
85760,0.9062518,1,0.8290142,300,1000,3,14,1.3,10,8,14,30,30,0,3
86770,0.8892063,1,0.840897,300,1000,3,14,1.3,10,8,14,30,30,0,3
87770,0.8892063,1,0.840897,300,1000,3,14,1.3,10,9,14,30,30,0,3
87770,0.856333,1,0.8648028,300,1000,3,14,1.3,10,9,14,30,30,0,3
88770,0.8234594,1,0.8901078,300,1000,3,14,1.3,10,9,14,30,30,0,3
89780,0.8088488,1,0.9018362,300,1000,3,14,1.3,10,9,14,30,30,0,3
90790,0.8088488,1,0.9018362,300,1000,3,14,1.3,10,9,15,30,30,0,3
90790,0.8157481,1,0.8962597,300,1000,3,14,1.3,10,9,15,30,30,0,3
91790,0.8474041,1,0.8715325,300,1000,3,14,1.3,10,9,15,30,30,0,3
92800,0.8474041,1,0.8715325,300,1000,3,14,1.3,10,9,16,30,30,0,3
92800,0.890424,1,0.8400368,300,1000,3,14,1.3,10,9,16,30,30,0,3
93800,0.890424,1,0.8400368,300,1000,3,14,1.3,10,9,17,30,30,0,3
93800,0.92208,1,0.818277,300,1000,3,14,1.3,10,9,17,30,30,0,3
94810,0.9200506,1,0.8196381,300,1000,3,14,1.3,10,9,17,30,30,0,3
95810,0.9034106,1,0.8309715,300,1000,3,14,1.3,10,9,17,30,30,0,3
96810,0.8936701,1,0.8377523,300,1000,3,14,1.3,10,9,17,30,30,0,3
97820,0.8936701,1,0.8377523,300,1000,3,14,1.3,10,9,18,30,30,0,3
97820,0.8875825,1,0.8420467,300,1000,3,14,1.3,10,9,18,30,30,0,3
98830,0.8794659,1,0.8478414,300,1000,3,14,1.3,10,9,18,30,30,0,3
99830,0.8701317,1,0.8546046,300,1000,3,14,1.3,10,9,18,30,30,0,3
100840,0.8437518,1,0.8743155,300,1000,3,14,1.3,10,4,23,30,30,0,3
101850,0.8360409,1,0.88025,300,1000,3,14,1.3,10,4,23,30,30,0,3
102850,0.8461869,1,0.872458,300,1000,3,14,1.3,10,4,23,30,30,0,3
103850,0.8526803,1,0.8675433,300,1000,3,14,1.3,10,4,23,30,30,0,3
104860,0.8368523,1,0.8796217,300,1000,3,14,1.3,10,3,24,30,30,0,3
105860,0.801544,1,0.9078167,300,1000,3,14,1.3,10,3,24,30,30,0,3
106870,0.7544658,1,0.9483475,300,1000,3,14,1.3,10,3,24,30,30,0,3
107870,0.7219979,1,0.9784756,300,1000,3,14,1.3,10,3,24,30,30,0,3
108880,0.7110397,1,0.9890808,300,1000,3,14,1.3,10,3,24,30,30,0,3
109880,0.7045459,1,0.9954747,300,1000,3,14,1.3,10,2,25,30,30,0,3
110880,0.6988642,1,1.001137,300,1000,3,14,1.3,10,2,25,30,30,0,3
111890,0.6895298,1,1.010581,300,1000,3,14,1.3,10,1,26,30,30,0,3
112890,0.6895298,1,1.010581,300,1000,4,14,1.3,10,0,27,30,30,0,3
112890,0.6895298,1,1.010581,300,1000,4,14,1.3,15,0,27,30,30,0,3
112890,0.6895298,1,1.010581,300,1000,4,30,1.3,15,0,27,30,30,0,3
112890,0.669238,1,1.031738,300,1000,4,30,1.3,15,0,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,1,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,2,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,3,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,4,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,5,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,6,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,7,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,8,27,30,30,0,3
122900,0.669238,1,1.031738,300,1000,4,30,1.3,15,9,27,30,30,0,3
122900,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,9,27,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,9,28,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,10,28,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,11,28,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,12,28,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,13,28,30,30,0,3
123910,0.7244331,1,0.9761496,300,1000,4,30,1.3,15,14,28,30,30,0,3
123910,0.6996768,1,1.000323,300,1000,4,30,1.3,15,14,28,30,30,0,3
124910,0.6996768,1,1.000323,300,1000,4,30,1.3,15,14,29,30,30,0,3
124910,0.7061703,1,0.9938676,300,1000,4,30,1.3,15,14,29,30,30,0,3
125920,0.7280858,1,0.9726815,300,1000,4,30,1.3,15,14,29,30,30,0,3
126920,0.7682642,1,0.936098,300,1000,4,30,1.3,15,14,29,30,30,0,3
127930,0.7950498,1,0.9132004,300,1000,4,30,1.3,15,14,29,30,30,0,3
128940,0.8514622,1,0.868461,300,1000,4,30,1.3,15,14,29,30,30,0,3
140390,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
140390,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
140390,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
140390,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
