time,raw,transformed
5980,-0.779750943183899,0
6090,-0.779750943183899,0
6200,-0.779958128929138,0
6310,-0.780372440814972,0
6420,-0.779543817043304,0
6530,-0.780372440814972,0
6640,-0.780165255069733,0
6750,-0.780165255069733,0
6860,-0.780165255069733,0
6970,-0.780165255069733,0
7070,-0.780579566955566,0
7180,-0.780579566955566,0
7290,-0.780579566955566,0
7400,-0.780786752700806,0
7510,-0.780579566955566,0
7620,-0.780993938446045,0
7730,-0.781201064586639,0
7840,-0.781408250331879,0
7950,-0.780993938446045,0
8060,-0.781201064586639,0
8170,-0.780993938446045,0
8280,-0.781201064586639,0
8390,-0.781201064586639,0
8490,-0.781201064586639,0
8600,-0.781408250331879,0
8710,-0.781615376472473,0
8820,-0.782236874103546,0
8930,-0.782444059848785,0
9040,-0.782236874103546,0
9150,-0.781408250331879,0
9260,-0.780372440814972,0
9370,-0.779543817043304,0
9480,-0.779336631298065,0
9590,-0.779129445552826,0
9700,-0.779129445552826,0
9800,-0.779958128929138,0
9910,-0.780579566955566,0
10020,-0.779543817043304,0
10130,-0.782858371734619,0
10240,-0.783479809761047,0
10350,-0.783479809761047,0
10460,-0.782444059848785,0
10570,-0.778508007526398,0
10680,-0.777679324150085,0
10790,-0.777472198009491,0
10900,-0.778093695640564,0
11010,-0.777886509895325,0
11120,-0.777679324150085,0
11220,-0.777472198009491,0
11330,-0.777886509895325,0
11440,-0.777886509895325,0
11550,-0.777679324150085,0
11660,-0.777472198009491,0
11770,-0.777679324150085,0
11880,-0.777057886123657,0
11990,-0.776229202747345,0
12100,-0.775607764720917,0
12210,-0.775607764720917,0
12320,-0.774986267089844,0
12430,-0.77457195520401,0
12530,-0.774364769458771,0
12640,-0.773950457572937,0
12750,-0.773743331432343,0
12860,-0.77291464805603,0
12970,-0.77291464805603,0
13080,-0.770428717136383,0
13190,-0.767735660076141,0
13300,-0.767735660076141,0
13410,-0.766078352928162,0
13520,-0.763799607753754,0
13630,-0.763178110122681,0
13740,-0.762142360210419,0
13850,-0.760692238807678,0
13950,-0.759863555431366,0
14060,-0.759242117404938,0
14170,-0.759242117404938,0
14280,-0.759449243545532,0
14390,-0.759034931659698,0
14500,-0.758413434028625,0
14610,-0.756963312625885,0
14720,-0.756341874599457,0
14830,-0.756341874599457,0
