time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4510,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
4510,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
4510,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
4510,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,2
5510,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,2
5510,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,2
6490,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,2
7480,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,2
8490,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
12510,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,2
35630,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,2
35630,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,2
35630,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,2
45630,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,2
45630,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,2
46640,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,2
46640,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,2
47640,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,2
47640,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,2
48640,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,2
54680,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,2
65730,0,1,1,300,1000,2,8,1.3,7,4,9,30,30,0,2
65730,0.6580532,1.538372,1,300,1000,2,8,1.3,7,4,9,30,30,0,2
65730,0.6580532,1.538372,1,300,1000,2,8,1.3,7,4,9,26.83894,30,0,2
66740,0.6439735,1.519364,1,300,1000,2,8,1.3,7,4,9,26.83894,30,0,2
66740,0.6439735,1.519364,1,300,1000,2,8,1.3,7,4,9,27.12053,30,0,2
67740,0.6843238,1.573837,1,300,1000,2,8,1.3,7,4,9,27.12053,30,0,2
67740,0.6843238,1.573837,1,300,1000,2,8,1.3,7,4,9,26.31352,30,0,2
68750,0.7524042,1.665746,1,300,1000,2,8,1.3,7,4,9,26.31352,30,0,2
68750,0.7524042,1.665746,1,300,1000,2,8,1.3,7,4,9,24.95192,30,0,2
69750,0.7875175,1.713149,1,300,1000,2,8,1.3,7,4,9,24.95192,30,0,2
69750,0.7875175,1.713149,1,300,1000,2,8,1.3,7,4,9,24.24965,30,0,2
70750,0.7968754,1.725782,1,300,1000,2,8,1.3,7,4,9,24.24965,30,0,2
70750,0.7968754,1.725782,1,300,1000,2,8,1.3,7,4,9,24.06249,30,0,2
71760,0.7734379,1.694141,1,300,1000,2,8,1.3,7,4,9,24.06249,30,0,2
71760,0.7734379,1.694141,1,300,1000,2,8,1.3,7,4,9,24.53124,30,0,2
72760,0.742703,1.652649,1,300,1000,2,8,1.3,7,4,9,24.53124,30,0,2
72760,0.742703,1.652649,1,300,1000,2,8,1.3,7,4,9,25.14594,30,0,2
73770,0.7035546,1.599799,1,300,1000,2,8,1.3,7,1,12,25.14594,30,0,2
73770,0.7035546,1.599799,1,300,1000,2,8,1.3,7,1,12,25.92891,30,0,2
74780,0.667411,1.551005,1,300,1000,2,8,1.3,7,1,12,25.92891,30,0,2
