time_millisecond,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
101895,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
101895,1,1,1,450,1500,3,14,1.3,10,7,20,30,40,0,3
102892,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
102892,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
103902,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
103902,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
104910,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
104910,1,1,1,450,1500,3,14,1.3,10,6,21,30,40,0,3
105909,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
105909,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
106918,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
106918,1,1,1,450,1500,3,14,1.3,10,5,22,30,40,0,3
107919,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
107919,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
108924,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
108924,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
109928,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
109928,1,1,1,450,1500,3,14,1.3,10,4,23,30,40,0,3
110934,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
110934,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
111944,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
111944,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
112949,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
112950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
113950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
113950,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
114957,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
114957,1,1,1,450,1500,3,14,1.3,10,3,24,30,40,0,3
115958,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
115958,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
116973,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
116973,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
117967,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
117967,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
118976,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
118976,1,1,1,450,1500,3,14,1.3,10,2,25,30,40,0,3
119985,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
119985,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
120982,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
120982,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
121989,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
121989,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
122996,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
122996,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
124005,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
124005,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
125006,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
125006,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
126014,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
126014,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
127018,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
127018,1,1,1,450,1500,3,14,1.3,10,1,26,30,40,0,3
128022,1,1,1,450,1500,4,14,1.3,10,0,27,30,40,0,3
128022,1,1,1,450,1500,4,14,1.3,15,0,27,30,40,0,3
128022,1,1,1,450,1500,4,30,1.3,15,0,27,30,40,0,3
128022,1,1,1,450,1500,4,30,1.3,15,0,27,30,40,0,3
128022,1,1,1,450,1500,4,30,1.3,15,0,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,1,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,2,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,3,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,4,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,5,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,6,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,7,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,8,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,9,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,9,27,30,40,0,3
138028,1,1,1,450,1500,4,30,1.3,15,9,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,10,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,11,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,12,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,13,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,14,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
139035,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
140034,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
140034,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
141045,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
141045,1,1,1,450,1500,4,30,1.3,15,15,27,30,40,0,3
142045,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
142045,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
142045,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
143053,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
143053,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
144060,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
144060,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
145061,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
145061,1,1,1,450,1500,4,30,1.3,15,15,28,30,40,0,3
146063,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
146063,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
146063,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
147068,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
147068,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
148077,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
148077,1,1,1,450,1500,4,30,1.3,15,15,29,30,40,0,3
149086,1,1,1,450,1500,4,30,1.3,15,14,31,30,40,0,3
149086,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
149086,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
149086,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
150086,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
150086,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
151098,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
151098,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
152096,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
152096,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
153099,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
153099,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
154107,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
154107,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
155113,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
155113,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
156114,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
156114,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
157121,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
157121,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
158133,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
158133,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
159136,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
159136,1,1,1,450,1500,4,30,1.3,15,15,31,30,40,0,3
160141,1,1,1,450,1500,4,30,1.3,15,15,32,30,40,0,3
160141,1,1,1,450,1500,4,30,1.3,15,15,32,30,40,0,3
160141,1,1,1,450,1500,4,30,1.3,15,15,32,30,40,0,3
161147,1,1,1,450,1500,4,30,1.3,15,15,33,30,40,0,3
161147,1,1,1,450,1500,4,30,1.3,15,15,33,30,40,0,3
161147,1,1,1,450,1500,4,30,1.3,15,15,33,30,40,0,3
162150,1,1,1,450,1500,4,30,1.3,15,15,34,30,40,0,3
162150,1,1,1,450,1500,4,30,1.3,15,15,34,30,40,0,3
162150,1,1,1,450,1500,4,30,1.3,15,15,34,30,40,0,3
163151,1,1,1,450,1500,4,30,1.3,15,15,35,30,40,0,3
163151,1,1,1,450,1500,4,30,1.3,15,15,35,30,40,0,3
163151,1,1,1,450,1500,4,30,1.3,15,15,35,30,40,0,3
164155,1,1,1,450,1500,4,30,1.3,15,15,36,30,40,0,3
164155,1,1,1,450,1500,4,30,1.3,15,15,36,30,40,0,3
164155,1,1,1,450,1500,4,30,1.3,15,15,36,30,40,0,3
165158,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
165158,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
165158,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
166164,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
166164,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
167169,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
167169,1,1,1,450,1500,4,30,1.3,15,15,37,30,40,0,3
168183,1,1,1,450,1500,4,30,1.3,15,15,38,30,40,0,3
168183,1,1,1,450,1500,4,30,1.3,15,15,38,30,40,0,3
168183,1,1,1,450,1500,4,30,1.3,15,15,38,30,40,0,3
169188,1,1,1,450,1500,4,30,1.3,15,15,38,30,40,0,3
169188,1,1,1,450,1500,4,30,1.3,15,15,38,30,40,0,3
170188,1,1,1,450,1500,4,30,1.3,15,14,40,30,40,0,3
170188,1,1,1,450,1500,4,30,1.3,15,15,40,30,40,0,3
170188,1,1,1,450,1500,4,30,1.3,15,15,40,30,40,0,3
170188,1,1,1,450,1500,4,30,1.3,15,15,40,30,40,0,3
171193,1,1,1,450,1500,4,30,1.3,15,15,41,30,40,0,3
171193,1,1,1,450,1500,4,30,1.3,15,15,41,30,40,0,3
171193,1,1,1,450,1500,4,30,1.3,15,15,41,30,40,0,3
172196,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
172196,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
172196,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
173205,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
173205,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
174204,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
174204,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
175214,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
175214,1,1,1,450,1500,4,30,1.3,15,15,42,30,40,0,3
176216,1,1,1,450,1500,4,30,1.3,15,14,43,30,40,0,3
176216,1,1,1,450,1500,4,30,1.3,15,14,43,30,40,0,3
177224,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
177224,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
178230,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
178230,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
179231,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
179231,1,1,1,450,1500,4,30,1.3,15,12,45,30,40,0,3
180234,1,1,1,450,1500,4,30,1.3,15,11,46,30,40,0,3
180234,1,1,1,450,1500,4,30,1.3,15,11,46,30,40,0,3
181241,1,1,1,450,1500,4,30,1.3,15,9,48,30,40,0,3
181241,1,1,1,450,1500,4,30,1.3,15,9,48,30,40,0,3
182244,1,1,1,450,1500,4,30,1.3,15,8,49,30,40,0,3
182244,1,1,1,450,1500,4,30,1.3,15,8,49,30,40,0,3
183258,1,1,1,450,1500,4,30,1.3,15,8,49,30,40,0,3
183258,1,1,1,450,1500,4,30,1.3,15,8,49,30,40,0,3
184253,1,1,1,450,1500,4,30,1.3,15,7,50,30,40,0,3
184253,1,1,1,450,1500,4,30,1.3,15,7,50,30,40,0,3
185263,1,1,1,450,1500,4,30,1.3,15,7,50,30,40,0,3
