time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4900,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
4900,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
4900,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
4900,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
5900,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,1
6900,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,1
7900,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,1
8900,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,1
30010,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,0,1
30010,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,0,1
30010,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,0,1
40010,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,0,1
40010,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,0,1
41020,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,0,1
41020,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,0,1
42020,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,0,1
42020,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,0,1
43040,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,0,1
46040,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,0,1
74190,0,1,1,300,1000,3,8,1.3,7,0,13,30,30,0,1
74190,0,1,1,300,1000,3,8,1.3,10,0,13,30,30,0,1
74190,0,1,1,300,1000,3,14,1.3,10,0,13,30,30,0,1
84190,0,1,1,300,1000,3,14,1.3,10,1,13,30,30,0,1
84190,0,1,1,300,1000,3,14,1.3,10,2,13,30,30,0,1
84190,0,1,1,300,1000,3,14,1.3,10,3,13,30,30,0,1
84190,0,1,1,300,1000,3,14,1.3,10,4,13,30,30,0,1
85190,0,1,1,300,1000,3,14,1.3,10,5,13,30,30,0,1
85190,0,1,1,300,1000,3,14,1.3,10,6,13,30,30,0,1
85190,0,1,1,300,1000,3,14,1.3,10,7,13,30,30,0,1
85190,0,1,1,300,1000,3,14,1.3,10,8,13,30,30,0,1
86200,0,1,1,300,1000,3,14,1.3,10,9,13,30,30,0,1
86200,0,1,1,300,1000,3,14,1.3,10,10,13,30,30,0,1
88210,0,1,1,300,1000,3,14,1.3,10,10,14,30,30,0,1
89210,0,1,1,300,1000,3,14,1.3,10,10,15,30,30,0,1
91220,0,1,1,300,1000,3,14,1.3,10,10,16,30,30,0,1
94240,0,1,1,300,1000,3,14,1.3,10,10,17,30,30,0,1
152520,0,1,1,300,1000,4,14,1.3,10,0,27,30,30,0,1
152520,0,1,1,300,1000,4,14,1.3,15,0,27,30,30,0,1
152520,0,1,1,300,1000,4,30,1.3,15,0,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,1,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,2,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,3,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,4,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,5,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,6,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,7,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,8,27,30,30,0,1
162540,0,1,1,300,1000,4,30,1.3,15,9,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,10,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,11,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,12,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,13,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,14,27,30,30,0,1
163540,0,1,1,300,1000,4,30,1.3,15,15,27,30,30,0,1
164540,0,1,1,300,1000,4,30,1.3,15,15,28,30,30,0,1
165550,0,1,1,300,1000,4,30,1.3,15,15,29,30,30,0,1
168560,0,1,1,300,1000,4,30,1.3,15,14,31,30,30,0,1
168560,0,1,1,300,1000,4,30,1.3,15,15,31,30,30,0,1
171570,0,1,1,300,1000,4,30,1.3,15,15,32,30,30,0,1
174590,0,1,1,300,1000,4,30,1.3,15,15,33,30,30,0,1
176600,0,1,1,300,1000,4,30,1.3,15,15,34,30,30,0,1
177610,0,1,1,300,1000,4,30,1.3,15,15,35,30,30,0,1
179610,0,1,1,300,1000,4,30,1.3,15,15,36,30,30,0,1
182640,0,1,1,300,1000,4,30,1.3,15,15,37,30,30,0,1
184640,0,1,1,300,1000,4,30,1.3,15,15,38,30,30,0,1
185650,0,1,1,300,1000,4,30,1.3,15,15,39,30,30,0,1
188660,0,1,1,300,1000,4,30,1.3,15,11,44,30,30,0,1
188660,0,1,1,300,1000,4,30,1.3,15,12,44,30,30,0,1
188660,0,1,1,300,1000,4,30,1.3,15,13,44,30,30,0,1
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
201060,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
206050,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
206050,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
206050,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
206050,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,1
207060,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,1
208070,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,1
209070,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,1
210070,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,1
231180,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,0,1
231180,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,0,1
231180,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,0,1
241180,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,0,1
241180,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,0,1
242190,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,0,1
242190,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,0,1
243190,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,0,1
243190,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,0,1
244190,0,1,1,300,1000,2,8,1.3,7,6,6,30,30,0,1
244190,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,0,1
271330,0,1,1,300,1000,3,8,1.3,7,0,13,30,30,0,1
271330,0,1,1,300,1000,3,8,1.3,10,0,13,30,30,0,1
271330,0,1,1,300,1000,3,14,1.3,10,0,13,30,30,0,1
281340,0,1,1,300,1000,3,14,1.3,10,1,13,30,30,0,1
281340,0,1,1,300,1000,3,14,1.3,10,2,13,30,30,0,1
281340,0,1,1,300,1000,3,14,1.3,10,3,13,30,30,0,1
