time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
4410,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
4410,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
4410,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
4410,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
5410,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,0,4
6420,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,0,4
7420,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,0,4
8420,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,0,4
9420,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
16440,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
45590,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,4
45590,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,4
45590,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,4
55590,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,4
55590,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,4
56600,0,1,1,300,1000,2,8,1.3,7,3,5,30,30,1,4
56600,0,1,1,300,1000,2,8,1.3,7,4,5,30,30,1,4
57600,0,1,1,300,1000,2,8,1.3,7,5,5,30,30,1,4
57600,0,1,1,300,1000,2,8,1.3,7,6,5,30,30,1,4
58610,0,1,1,300,1000,2,8,1.3,7,7,5,30,30,1,4
61620,0,1,1,300,1000,2,8,1.3,7,7,6,30,30,1,4
69660,0,1,1,300,1000,2,8,1.3,7,4,9,30,30,0,4
69660,0.4401612,1,1,237,940,2,8,1.3,7,4,9,30,30,0,4
69660,0.4401612,1,1,237,940,2,8,1.3,7,4,9,30,73.59032,0,4
70670,0.4055867,1,1,224,905,2,8,1.3,7,4,9,30,73.59032,0,4
70670,0.4055867,1,1,224,905,2,8,1.3,7,4,9,30,75.66479,0,4
71670,0.3630331,1,1,207,863,2,8,1.3,7,2,11,30,75.66479,0,4
71670,0.3630331,1,1,207,863,2,8,1.3,7,2,11,30,78.21801,0,4
72680,0.3377668,1,1,198,837,2,8,1.3,7,2,11,30,78.21801,0,4
72680,0.3377668,1,1,198,837,2,8,1.3,7,2,11,30,79.73399,0,4
73680,0.3118358,1,1,188,811,2,8,1.3,7,2,11,30,79.73399,0,4
73680,0.3118358,1,1,188,811,2,8,1.3,7,2,11,30,81.28986,0,4
74690,0.3078467,1,1,186,807,2,8,1.3,7,2,11,30,81.28986,0,4
74690,0.3078467,1,1,186,807,2,8,1.3,7,2,11,30,81.5292,0,4
75690,0.2792568,1,1,176,779,2,8,1.3,7,2,11,30,81.5292,0,4
75690,0.2792568,1,1,176,779,2,8,1.3,7,2,11,30,83.24459,0,4
76700,0.2593106,1,1,168,759,2,8,1.3,7,2,11,30,83.24459,0,4
76700,0.2593106,1,1,168,759,2,8,1.3,7,2,11,30,84.44136,0,4
77700,0.2440181,1,1,162,744,2,8,1.3,7,2,11,30,84.44136,0,4
77700,0.2440181,1,1,162,744,2,8,1.3,7,2,11,30,85.35892,0,4
78700,0.2440181,1,1,162,744,3,8,1.3,7,0,13,30,85.35892,0,4
78700,0.2440181,1,1,162,744,3,8,1.3,10,0,13,30,85.35892,0,4
78700,0.2440181,1,1,162,744,3,14,1.3,10,0,13,30,85.35892,0,4
78700,0.222076,1,1,154,722,3,14,1.3,10,0,13,30,85.35892,0,4
78700,0.222076,1,1,154,722,3,14,1.3,10,0,13,30,86.67544,0,4
88710,0.222076,1,1,154,722,3,14,1.3,10,1,13,30,86.67544,0,4
88710,0.222076,1,1,154,722,3,14,1.3,10,2,13,30,86.67544,0,4
88710,0.222076,1,1,154,722,3,14,1.3,10,3,13,30,86.67544,0,4
88710,0.222076,1,1,154,722,3,14,1.3,10,4,13,30,86.67544,0,4
88710,0.0784594,1,1,99,578,3,14,1.3,10,4,13,30,86.67544,0,4
88710,0.0784594,1,1,99,578,3,14,1.3,10,4,13,30,95.29243,0,4
89720,0.0784594,1,1,99,578,3,14,1.3,10,5,13,30,95.29243,0,4
89720,0.0784594,1,1,99,578,3,14,1.3,10,6,13,30,95.29243,0,4
89720,0.0784594,1,1,99,578,3,14,1.3,10,7,13,30,95.29243,0,4
89720,0.0784594,1,1,99,578,3,14,1.3,10,8,13,30,95.29243,0,4
89720,0.04587926,1,1,87,545,3,14,1.3,10,8,13,30,95.29243,0,4
89720,0.04587926,1,1,87,545,3,14,1.3,10,8,13,30,97.24725,0,4
90720,0.04587926,1,1,87,545,3,14,1.3,10,9,13,30,97.24725,0,4
90720,0.04587926,1,1,87,545,3,14,1.3,10,10,13,30,97.24725,0,4
90720,0.01396428,1,1,75,513,3,14,1.3,10,10,13,30,97.24725,0,4
90720,0.01396428,1,1,75,513,3,14,1.3,10,10,13,30,99.16214,0,4
91730,0.01396428,1,1,75,513,3,14,1.3,10,10,14,30,99.16214,0,4
91730,0,1,1,70,500,3,14,1.3,10,10,14,30,99.16214,0,4
91730,0,1,1,70,500,3,14,1.3,10,10,14,30,100,0,4
92730,0,1,1,70,500,3,14,1.3,10,10,14,30,100,0,4
92730,0,1,1,70,500,3,14,1.3,10,10,14,30,100,0,4
93740,0,1,1,70,500,3,14,1.3,10,10,15,30,100,0,4
93740,0,1,1,70,500,3,14,1.3,10,10,15,30,100,0,4
93740,0,1,1,70,500,3,14,1.3,10,10,15,30,100,0,4
94740,0.02194265,1,1,78,521,3,14,1.3,10,10,15,30,100,0,4
94740,0.02194265,1,1,78,521,3,14,1.3,10,10,15,30,98.68344,0,4
95750,0.04521352,1,1,87,545,3,14,1.3,10,10,15,30,98.68344,0,4
95750,0.04521352,1,1,87,545,3,14,1.3,10,10,15,30,97.28719,0,4
96750,0.04521352,1,1,87,545,3,14,1.3,10,10,16,30,97.28719,0,4
96750,0.03657018,1,1,83,536,3,14,1.3,10,10,16,30,97.28719,0,4
96750,0.03657018,1,1,83,536,3,14,1.3,10,10,16,30,97.80579,0,4
97760,0.03657018,1,1,83,536,3,14,1.3,10,10,17,30,97.80579,0,4
97760,0.007979891,1,1,73,507,3,14,1.3,10,10,17,30,97.80579,0,4
97760,0.007979891,1,1,73,507,3,14,1.3,10,10,17,30,99.52121,0,4
98760,0,1,1,70,500,3,14,1.3,10,9,18,30,99.52121,0,4
98760,0,1,1,70,500,3,14,1.3,10,9,18,30,100,0,4
99770,0,1,1,70,500,3,14,1.3,10,9,18,30,100,0,4
99770,0,1,1,70,500,3,14,1.3,10,9,18,30,100,0,4
100770,0,1,1,70,500,3,14,1.3,10,9,18,30,100,0,4
100770,0,1,1,70,500,3,14,1.3,10,9,18,30,100,0,4
101770,0,1,1,70,500,3,14,1.3,10,8,19,30,100,0,4
101770,0,1,1,70,500,3,14,1.3,10,8,19,30,100,0,4
102780,0,1,1,70,500,3,14,1.3,10,8,19,30,100,0,4
102780,0,1,1,70,500,3,14,1.3,10,8,19,30,100,0,4
103780,0.01662361,1,1,76,516,3,14,1.3,10,8,19,30,100,0,4
103780,0.01662361,1,1,76,516,3,14,1.3,10,8,19,30,99.00259,0,4
104790,0.0292566,1,1,81,529,3,14,1.3,10,7,20,30,99.00259,0,4
104790,0.0292566,1,1,81,529,3,14,1.3,10,7,20,30,98.24461,0,4
105790,0,1,1,70,500,3,14,1.3,10,7,20,30,98.24461,0,4
105790,0,1,1,70,500,3,14,1.3,10,7,20,30,100,0,4
106800,0,1,1,70,500,3,14,1.3,10,7,20,30,100,0,4
106800,0,1,1,70,500,3,14,1.3,10,7,20,30,100,0,4
107800,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
107800,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
108810,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
108810,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
109820,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
109820,0,1,1,70,500,3,14,1.3,10,6,21,30,100,0,4
110830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
110830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
111820,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
111820,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
112830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
112830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
113830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
113830,0,1,1,70,500,3,14,1.3,10,3,24,30,100,0,4
114840,0.03058694,1,1,81,530,3,14,1.3,10,2,25,30,100,0,4
114840,0.03058694,1,1,81,530,3,14,1.3,10,2,25,30,98.16479,0,4
115850,0.02792761,1,1,80,527,3,14,1.3,10,1,26,30,98.16479,0,4
115850,0.02792761,1,1,80,527,3,14,1.3,10,1,26,30,98.32434,0,4
116850,0.01329893,1,1,75,513,3,14,1.3,10,1,26,30,98.32434,0,4
116850,0.01329893,1,1,75,513,3,14,1.3,10,1,26,30,99.20206,0,4
117860,0.006650133,1,1,72,506,3,14,1.3,10,1,26,30,99.20206,0,4
117860,0.006650133,1,1,72,506,3,14,1.3,10,1,26,30,99.60099,0,4
118860,1.339133E-06,1,1,70,500,3,14,1.3,10,1,26,30,99.60099,0,4
118860,1.339133E-06,1,1,70,500,3,14,1.3,10,1,26,30,99.99992,0,4
119870,1.339133E-06,1,1,70,500,4,14,1.3,10,0,27,30,99.99992,0,4
119870,1.339133E-06,1,1,70,500,4,14,1.3,15,0,27,30,99.99992,0,4
119870,1.339133E-06,1,1,70,500,4,30,1.3,15,0,27,30,99.99992,0,4
119870,0,1,1,70,500,4,30,1.3,15,0,27,30,99.99992,0,4
119870,0,1,1,70,500,4,30,1.3,15,0,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,1,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,2,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,3,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,4,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,5,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,6,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,7,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,8,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,9,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,9,27,30,100,0,4
129870,0,1,1,70,500,4,30,1.3,15,9,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,10,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,11,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,12,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,13,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,14,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,15,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,15,27,30,100,0,4
130880,0,1,1,70,500,4,30,1.3,15,15,27,30,100,0,4
131880,0,1,1,70,500,4,30,1.3,15,15,28,30,100,0,4
131880,0,1,1,70,500,4,30,1.3,15,15,28,30,100,0,4
131880,0,1,1,70,500,4,30,1.3,15,15,28,30,100,0,4
132890,0,1,1,70,500,4,30,1.3,15,14,30,30,100,0,4
132890,0,1,1,70,500,4,30,1.3,15,15,30,30,100,0,4
132890,0,1,1,70,500,4,30,1.3,15,15,30,30,100,0,4
132890,0,1,1,70,500,4,30,1.3,15,15,30,30,100,0,4
133890,0,1,1,70,500,4,30,1.3,15,15,31,30,100,0,4
133890,0,1,1,70,500,4,30,1.3,15,15,31,30,100,0,4
133890,0,1,1,70,500,4,30,1.3,15,15,31,30,100,0,4
134900,0,1,1,70,500,4,30,1.3,15,15,31,30,100,0,4
134900,0,1,1,70,500,4,30,1.3,15,15,31,30,100,0,4
135900,0,1,1,70,500,4,30,1.3,15,15,32,30,100,0,4
135900,0,1,1,70,500,4,30,1.3,15,15,32,30,100,0,4
135900,0,1,1,70,500,4,30,1.3,15,15,32,30,100,0,4
136910,0,1,1,70,500,4,30,1.3,15,15,32,30,100,0,4
136910,0,1,1,70,500,4,30,1.3,15,15,32,30,100,0,4
137910,0,1,1,70,500,4,30,1.3,15,15,33,30,100,0,4
137910,0,1,1,70,500,4,30,1.3,15,15,33,30,100,0,4
